jam,suhu_ruangan,jumlah_orang,suhu_ac
12,29.9,6,21
13,29.7,3,23
14,29.9,7,21
15,29.7,6,21
16,29.4,3,23
17,29.9,4,22
18,29.7,1,23
19,29.6,2,23
20,30.0,1,23
21,29.9,0,30
22,30.0,0,30
23,30.3,1,22
0,28.5,0,30
1,28.8,0,30
2,28.7,0,30
3,28.4,0,30
4,28.4,0,30
5,28.7,0,30
6,28.9,0,30
7,28.6,2,24
8,29.1,3,23
9,29.0,2,24
10,29.4,4,22
11,29.8,3,23
12,30.0,3,23
13,30.0,7,21
14,30.3,4,21
15,30.5,3,22
16,30.7,6,20
17,30.8,1,22
18,31.0,4,21
19,31.0,4,21
20,31.4,2,20
21,31.0,0,30
22,30.7,1,22
23,30.8,0,30
0,28.4,0,30
1,28.8,0,30
2,29.1,0,30
3,29.4,0,30
4,29.2,0,30
5,28.8,0,30
6,28.6,0,30
7,28.4,3,24
8,28.7,1,24
9,28.7,1,24
10,28.5,8,22
11,28.6,6,22
12,28.8,5,23
13,28.7,6,22
14,28.8,4,23
15,28.6,8,22
16,28.7,5,23
17,28.6,3,24
18,29.0,2,24
19,29.0,3,24
20,29.0,4,23
21,29.4,1,23
22,29.2,0,30
23,28.9,1,24
0,28.7,0,30
1,28.8,0,30
2,28.8,0,30
3,28.9,0,30
4,28.8,0,30
5,29.0,0,30
6,28.6,0,30
7,28.5,2,24
8,28.2,1,24
9,27.9,1,25
10,27.8,7,23
11,28.3,8,22
12,28.2,6,22
13,28.5,4,23
14,28.7,7,22
15,28.7,3,24
16,28.8,7,22
17,29.2,2,23
18,28.9,4,23
19,28.6,3,24
20,28.7,3,24
21,28.7,0,30
22,28.4,0,30
23,28.8,1,24
0,30.2,0,30
1,30.3,0,30
2,30.5,0,30
3,30.6,0,30
4,30.7,0,30
5,30.4,0,30
6,30.6,0,30
7,31.0,3,22
8,31.3,3,20
9,31.1,2,20
10,30.9,7,20
11,30.7,8,20
12,30.9,5,21
13,31.1,3,20
14,31.6,7,18
15,31.6,4,19
16,31.6,5,19
17,31.9,4,19
18,32.1,2,20
19,31.8,1,20
20,32.1,1,20
21,32.1,0,30
22,32.3,0,30
23,32.4,1,20
0,29.2,0,30
1,29.0,0,30
2,29.1,0,30
3,29.4,0,30
4,29.4,0,30
5,29.2,0,30
6,29.3,0,30
7,29.6,3,23
8,29.5,1,23
9,29.5,1,23
10,29.4,3,23
11,29.2,5,22
12,29.0,6,22
13,29.4,3,23
14,29.3,3,23
15,29.6,8,21
16,29.8,6,21
17,29.5,3,23
18,29.4,1,23
19,29.5,1,23
20,29.7,1,23
21,29.9,0,30
22,29.6,0,30
23,30.0,1,23
0,29.6,0,30
1,29.8,0,30
2,29.8,0,30
3,30.0,0,30
4,30.4,0,30
5,30.6,0,30
6,30.9,0,30
7,30.6,1,22
8,30.6,3,22
9,30.6,2,22
10,30.9,5,21
11,31.1,7,18
12,31.7,8,18
13,31.8,7,18
14,31.7,6,18
15,31.8,3,20
16,31.9,6,18
17,32.0,3,20
18,32.1,4,19
19,32.0,3,20
20,31.8,3,20
21,31.6,0,30
22,31.6,1,20
23,31.8,1,20
0,29.8,0,30
1,30.0,0,30
2,30.1,0,30
3,29.9,0,30
4,29.8,0,30
5,29.8,0,30
6,29.5,0,30
7,29.3,1,23
8,29.6,2,23
9,30.0,1,23
10,30.0,7,21
11,30.5,8,20
12,30.3,6,20
13,30.6,5,21
14,30.7,3,22
15,30.5,3,22
16,30.7,3,22
17,30.7,2,22
18,30.4,3,22
19,30.9,4,21
20,31.3,4,19
21,31.0,1,22
22,30.8,0,30
23,30.9,1,22
0,28.6,0,30
1,28.4,0,30
2,28.3,0,30
3,28.1,0,30
4,28.1,0,30
5,27.7,0,30
6,27.5,0,30
7,27.8,1,25
8,27.5,1,25
9,27.8,3,25
10,27.8,4,24
11,28.1,7,22
12,27.9,4,24
13,28.4,8,22
14,28.3,7,22
15,28.6,3,24
16,29.1,4,22
17,29.0,1,24
18,29.0,2,24
19,29.3,2,23
20,29.6,1,23
21,29.3,1,23
22,29.1,0,30
23,28.8,1,24
0,29.4,0,30
1,29.6,0,30
2,29.9,0,30
3,30.0,0,30
4,30.2,0,30
5,30.4,0,30
6,30.3,0,30
7,30.3,1,22
8,30.2,2,22
9,30.3,1,22
10,30.8,8,20
11,30.8,4,21
12,30.9,4,21
13,31.3,8,18
14,31.3,5,19
15,31.4,3,20
16,31.2,7,18
17,31.2,3,20
18,31.3,4,19
19,31.6,3,20
20,31.7,1,20
21,31.5,0,30
22,31.6,1,20
23,31.5,1,20
0,29.1,0,30
1,29.0,0,30
2,29.3,0,30
3,29.2,0,30
4,29.2,0,30
5,29.4,0,30
6,29.3,0,30
7,29.4,3,23
8,29.8,1,23
9,30.2,2,22
10,30.5,4,21
11,30.6,6,20
12,30.8,4,21
13,30.8,4,21
14,31.0,5,21
15,30.8,5,21
16,30.8,3,22
17,30.6,4,21
18,30.8,2,22
19,30.6,4,21
20,30.6,4,21
21,30.6,1,22
22,31.0,0,30
23,30.8,0,30
0,27.8,0,30
1,27.6,0,30
2,27.3,0,30
3,27.0,0,30
4,26.7,0,30
5,26.7,0,30
6,26.5,0,30
7,26.3,2,26
8,26.5,2,26
9,26.2,1,26
10,26.4,3,26
11,26.3,8,24
12,26.1,7,24
13,26.5,6,24
14,26.7,3,26
15,26.6,6,24
16,26.6,8,24
17,26.6,4,25
18,26.9,4,25
19,26.6,2,26
20,26.4,4,25
21,26.7,0,30
22,26.9,1,26
23,26.6,1,26
0,28.9,0,30
1,28.7,0,30
2,28.5,0,30
3,28.4,0,30
4,28.0,0,30
5,27.9,0,30
6,27.7,0,30
7,27.8,2,25
8,28.1,1,24
9,28.3,1,24
10,28.5,5,23
11,28.3,4,23
12,28.6,8,22
13,28.7,3,24
14,28.6,4,23
15,29.1,8,21
16,29.0,4,23
17,29.5,3,23
18,29.9,1,23
19,29.6,1,23
20,29.5,2,23
21,29.3,1,23
22,29.0,0,30
23,28.8,1,24
0,29.5,0,30
1,29.5,0,30
2,29.4,0,30
3,29.8,0,30
4,29.5,0,30
5,29.4,0,30
6,29.8,0,30
7,30.1,3,22
8,30.1,1,22
9,30.3,2,22
10,30.5,3,22
11,30.7,5,21
12,31.1,5,19
13,31.0,7,20
14,31.4,8,18
15,31.6,6,18
16,31.7,3,20
17,31.8,1,20
18,31.6,4,19
19,31.4,2,20
20,31.4,4,19
21,31.0,0,30
22,31.0,1,22
23,30.7,0,30
0,29.8,0,30
1,30.0,0,30
2,29.8,0,30
3,29.9,0,30
4,30.1,0,30
5,30.2,0,30
6,30.2,0,30
7,30.5,3,22
8,30.9,3,22
9,31.1,2,20
10,30.9,4,21
11,31.4,5,19
12,31.5,6,18
13,31.8,3,20
14,31.6,8,18
15,31.5,7,18
16,31.8,3,20
17,31.6,4,19
18,31.4,1,20
19,31.6,3,20
20,32.0,2,20
21,32.3,0,30
22,32.4,0,30
23,32.4,1,20
0,28.7,0,30
1,28.5,0,30
2,28.7,0,30
3,28.7,0,30
4,28.5,0,30
5,28.8,0,30
6,28.7,0,30
7,28.4,2,24
8,28.5,3,24
9,28.9,2,24
10,28.9,5,23
11,29.3,6,21
12,29.5,7,21
13,30.0,8,21
14,30.5,6,20
15,30.4,3,22
16,30.8,7,20
17,30.5,1,22
18,30.7,2,22
19,31.0,1,22
20,30.7,1,22
21,30.4,0,30
22,30.4,1,22
23,30.3,1,22
0,29.3,0,30
1,29.1,0,30
2,29.3,0,30
3,29.5,0,30
4,29.6,0,30
5,29.8,0,30
6,29.8,0,30
7,30.0,3,23
8,30.4,3,22
9,30.2,2,22
10,30.7,4,21
11,31.2,6,18
12,31.1,8,18
13,30.8,3,22
14,31.0,6,20
15,31.2,6,18
16,31.6,6,18
17,31.8,1,20
18,32.1,2,20
19,32.3,3,20
20,32.0,2,20
21,32.4,1,20
22,32.8,1,20
23,32.5,0,30
0,30.2,0,30
1,29.9,0,30
2,30.2,0,30
3,30.5,0,30
4,30.5,0,30
5,30.6,0,30
6,30.5,0,30
7,30.7,1,22
8,31.0,2,22
9,31.1,1,20
10,31.1,5,19
11,31.5,3,20
12,31.6,8,18
13,31.7,4,19
14,31.8,5,19
15,31.6,5,19
16,31.4,5,19
17,31.6,4,19
18,31.6,4,19
19,31.5,4,19
20,31.6,1,20
21,31.4,1,20
22,31.6,1,20
23,32.0,0,30
0,29.0,0,30
1,29.3,0,30
2,29.3,0,30
3,29.0,0,30
4,28.8,0,30
5,28.6,0,30
6,28.5,0,30
7,28.3,3,24
8,28.3,3,24
9,28.1,2,24
10,28.2,7,22
11,28.0,5,24
12,28.4,8,22
13,28.5,4,23
14,28.6,6,22
15,28.8,8,22
16,28.7,6,22
17,28.4,1,24
18,28.4,3,24
19,28.8,2,24
20,28.8,2,24
21,29.2,0,30
22,29.4,1,23
23,29.3,0,30
0,28.9,0,30
1,28.7,0,30
2,28.7,0,30
3,28.8,0,30
4,28.7,0,30
5,28.8,0,30
6,29.1,0,30
7,29.4,3,23
8,29.3,3,23
9,29.4,2,23
10,29.9,8,21
11,30.4,6,20
12,30.4,8,20
13,30.1,4,21
14,29.9,3,23
15,29.7,5,22
16,29.9,5,22
17,30.2,4,21
18,30.5,1,22
19,30.5,4,21
20,30.5,3,22
21,30.1,0,30
22,30.2,1,22
23,30.4,1,22
0,29.0,0,30
1,28.8,0,30
2,29.2,0,30
3,29.4,0,30
4,29.1,0,30
5,29.2,0,30
6,29.6,0,30
7,29.9,3,23
8,29.9,1,23
9,29.7,1,23
10,29.9,4,22
11,29.7,3,23
12,29.8,5,22
13,29.9,4,22
14,30.2,7,20
15,30.0,7,21
16,30.1,4,21
17,30.2,2,22
18,29.9,2,23
19,30.0,1,23
20,30.2,2,22
21,29.8,0,30
22,29.6,0,30
23,29.9,0,30
0,29.3,0,30
1,29.4,0,30
2,29.1,0,30
3,29.4,0,30
4,29.3,0,30
5,29.2,0,30
6,29.2,0,30
7,29.0,2,24
8,28.8,3,24
9,28.9,1,24
10,28.7,4,23
11,28.7,5,23
12,29.0,6,22
13,29.5,5,22
14,29.4,8,21
15,29.3,3,23
16,29.2,6,21
17,28.9,4,23
18,29.3,2,23
19,29.2,3,23
20,29.2,2,23
21,28.9,0,30
22,28.8,0,30
23,29.0,0,30
0,28.7,0,30
1,29.0,0,30
2,29.2,0,30
3,29.4,0,30
4,29.2,0,30
5,29.3,0,30
6,29.2,0,30
7,29.6,3,23
8,29.9,1,23
9,29.9,1,23
10,30.1,6,20
11,30.4,5,21
12,30.8,7,20
13,31.1,7,18
14,31.7,8,18
15,31.8,4,19
16,32.3,5,19
17,32.5,1,20
18,32.8,4,19
19,33.0,3,20
20,33.0,2,20
21,32.9,1,20
22,33.0,0,30
23,32.8,0,30
0,28.2,0,30
1,28.4,0,30
2,28.6,0,30
3,28.2,0,30
4,28.2,0,30
5,28.2,0,30
6,28.3,0,30
7,28.4,2,24
8,28.5,3,24
9,28.2,1,24
10,28.4,7,22
11,28.7,4,23
12,28.9,6,22
13,29.0,3,24
14,29.1,8,21
15,29.2,4,22
16,29.5,7,21
17,29.5,2,23
18,29.9,3,23
19,29.6,2,23
20,29.6,1,23
21,30.0,1,23
22,30.4,0,30
23,30.1,1,22
